record_key,doi,openalex_id,title,authors,year,type,source,cited_by_count,query_ids,title_screen_candidate
10.1002/adma.202210206,10.1002/adma.202210206,https://openalex.org/W4313453626,4D‐Printed Soft and Stretchable Self‐Folding Cuff Electrodes for Small‐Nerve Interfacing,Lukas Hiendlmeier; Francisco Zurita; Jonas Vogel; Fulvia Del Duca; George Al Boustani; Peng Hu; Inola Kopic; Marta Nikić; Tetsuhiko Teshima; Bernhard Wolfrum,2023,article,Advanced Materials,66,Q05,no
10.1002/admi.202202212,10.1002/admi.202202212,https://openalex.org/W4321099930,Multifunction of Biomimetic Liquid Infused Systems Derived from SLIPS Theory: A Review,Liye Xia; Siyu Zhang; Zhiguang Guo,2023,article,Advanced Materials Interfaces,28,Q09,no
10.1002/adom.201600417,10.1002/adom.201600417,https://openalex.org/W2511850274,Independent Tailoring of Super‐Radiant and Sub‐Radiant Modes in High‐<i>Q</i> Plasmonic Fano Resonant Metasurfaces,Govind Dayal; Xin Yu Chin; Cesare Soci; Ranjan Singh,2016,article,Advanced Optical Materials,20,Q09,no
10.1002/advs.202410595,10.1002/advs.202410595,https://openalex.org/W4406377745,Enhancing the Implant Osteointegration via Supramolecular Co‐Assembly Coating with Early Immunomodulation and Cell Colonization,Chenglong Wang; Zeyu Shou; Chengwei Xu; Kaiyuan Huo; Wenjie Liu; Hao Liu; Xingjie Zan; Qing Wang; Lianxin Li,2025,article,Advanced Science,11,Q09,no
10.1002/aic.16186,10.1002/aic.16186,https://openalex.org/W2800592011,Borescopy in pressurized gas‐solid fluidized beds,M. Banaei; R. A. Dellaert; N.G. Deen; M. van Sint Annaland; J.A.M. Kuipers,2018,article,AIChE Journal,5,Q08,no
10.1002/aisy.201900160,10.1002/aisy.201900160,https://openalex.org/W2999090676,Recent Progress in Optical‐Resonance‐Assisted Movement Control of Nanomotors,Jiapeng Zheng; Shiu Hei Lam; He Huang; Lei Shao,2020,article,Advanced Intelligent Systems,7,Q05,no
10.1002/aisy.202200367,10.1002/aisy.202200367,https://openalex.org/W4360619340,Continuum Robots: An Overview,Matteo Russo; Seyed Mohammad Hadi Sadati; Xin Dong; Abdelkhalick Mohammad; Ian D. Walker; Christos Bergeles; Kai Xu; Dragoş Axinte,2023,article,Advanced Intelligent Systems,238,Q08,no
10.1002/aisy.202400290,10.1002/aisy.202400290,https://openalex.org/W4402781768,Force Measurement Technology of Vision‐Based Tactile Sensor,Bin Fang; Jie Zhao; Nailong Liu; Yuhao Sun; Shixin Zhang; Fuchun Sun; Jianhua Shan; Yiyong Yang,2024,article,Advanced Intelligent Systems,30,Q05,no
10.1002/ajpa.24897,10.1002/ajpa.24897,https://openalex.org/W4390585146,Technical note: A volumetric method for measuring the longitudinal arch of human tracks and feet,Kevin G. Hatala; Stephen M. Gatesy; Armita R. Manafzadeh; Elizabeth M. Lusardi; Peter Falkingham,2024,article,American Journal of Biological Anthropology,1,Q05,no
10.1002/btpr.2710,10.1002/btpr.2710,https://openalex.org/W2896912070,A micro‐jet array for economic intensification of gas transfer in bioreactors,Damon E. Turney; Mohammad Owais Ansari; Dinesh V. Kalaga; Roman Yakobov; S. Banerjee; Jyeshtharaj B. Joshi,2018,article,Biotechnology Progress,18,Q08,no
10.1002/cepa.2065,10.1002/cepa.2065,https://openalex.org/W4387025897,Assessment of bridge Post‐Tensioning systems using non‐destructive (ND) inspection methods,Virginio Quaglini; Carlo Pettorruso; Sara Cattaneo; Dalila Rossi,2023,article,ce/papers,7,Q08,no
10.1002/cite.202100170,10.1002/cite.202100170,https://openalex.org/W4200037096,µCT‐Based Topography Analysis of Inaccessible Surfaces Exemplified by a Biofouling‐Covered Plastic,Florian Bittner; Hans‐Josef Endres,2021,article,Chemie Ingenieur Technik,3,Q11,no
10.1002/cjce.24615,10.1002/cjce.24615,https://openalex.org/W4293309900,On the fluidization of cohesive powders: Differences and similarities between micro‐ and nano‐sized particle gas–solid fluidization,Rens Kamphorst; Kaiqiao Wu; Samir Salameh; Gabrie M.H. Meesters; J. Ruud van Ommen,2022,article,The Canadian Journal of Chemical Engineering,26,Q08,no
10.1002/cnma.201800569,10.1002/cnma.201800569,https://openalex.org/W2910012247,Mechanistic Insights into Photochemical Reactions on CH<sub>3</sub>NH<sub>3</sub>PbBr<sub>3</sub> Perovskite Nanoparticles from Single‐Particle Photoluminescence Spectroscopy,Yuki Kimura; Izuru Karimata; Yasuhiro Kobori; Takashi Tachikawa,2019,article,ChemNanoMat,7,Q09,no
10.1002/cpz1.587,10.1002/cpz1.587,https://openalex.org/W4308999944,Spectrally Resolved Fiber Photometry for <i>In Vivo</i> Multi‐Color Fluorescence Measurements,Jingheng Zhou; Alan Yeh; Chengbo Meng; Amy B. Papaneri; Teja Peddada; Nicholas P. Kobzar; Guohong Cui,2022,article,Current Protocols,4,Q04,no
10.1002/cyto.990060404,10.1002/cyto.990060404,https://openalex.org/W2033733282,"The LLNL high‐speed sorter: Design features, operational characteristics, and biological utility",Donald C. Peters; Elbert Branscomb; P. N. Dean; Tom Merrill; Daniel Pinkel; M. Van Dilla; J. W. Gray,1985,article,Cytometry,73,Q08,no
10.1002/ente.202301502,10.1002/ente.202301502,https://openalex.org/W4394784168,Comparative Evaluation of Graphite Anode Structuring for Lithium‐Ion Batteries Using Laser Ablation and Mechanical Embossing,Lucas Hille; Josef Keilhofer; Roman Mazur; Rüdiger Daub; Michael F. Zaeh,2024,article,Energy Technology,9,Q09,no
10.1002/eom2.12493,10.1002/eom2.12493,https://openalex.org/W4403567858,Optimization strategy of triboelectric nanogenerators for high humidity environment service performance,Xichen Yin; Zhou Chen; Hui Chen; Qing Wang; Qian Chen; Cheng Wang; Chaoyue Ye,2024,article,EcoMat,20,Q05,no
10.1002/ese3.1004,10.1002/ese3.1004,https://openalex.org/W3208286909,An acoustic wave method for evaluating the effectiveness of blast to enhance fragmentation in longwall top coal caving,Tielin Zhao; Yuliang Zhou; Shengyuan Gao,2021,article,Energy Science & Engineering,5,Q02,no
10.1002/ese3.423,10.1002/ese3.423,https://openalex.org/W2967794154,Measurement of quality test of aerodynamic profiles in wind turbine blades using laser triangulation technique,Víctor Iván Moreno‐Oliva; Edwin Román‐Hernández; Eduardo Torres‐Moreno; José Rafael Dorrego Portela; Maximino Avendaño‐Alejo; Manuel Campos‐García; Sergio Sánchez‐Sánchez,2019,article,Energy Science & Engineering,14,Q11,no
10.1002/esp.2139,10.1002/esp.2139,https://openalex.org/W1875840277,Investigation of three‐dimensional wind flow behaviour over coastal dune morphology under offshore winds using computational fluid dynamics (CFD) and ultrasonic anemometry,Derek Jackson; J. H. M. Beyers; Kevin Lynch; Andrew Cooper; Andreas Baas; Irene Delgado‐Fernández,2011,article,Earth Surface Processes and Landforms,114,Q02,no
10.1002/hbm.70148,10.1002/hbm.70148,https://openalex.org/W4407138602,Pseudo‐<scp>MRI</scp> Engine for <scp>MRI</scp>‐Free Electromagnetic Source Imaging,Amit Jaiswal; Jukka Nenonen; Lauri Parkkonen,2025,article,Human Brain Mapping,4,Q05,no
10.1002/jbio.202500181,10.1002/jbio.202500181,https://openalex.org/W4412654996,Deep Learning for Autonomous Surgical Guidance Using 3‐Dimensional Images From Forward‐Viewing Endoscopic Optical Coherence Tomography,S. Ly; Adrien Badré; Parker Brandt; Chen Wang; Paul P. Calle; Justin Reynolds; Qinghao Zhang; Kar‐Ming Fung; Haoyang Cui; Zhongxin Yu; Sanjay G. Patel; Yunlong Liu; Nathan A. Bradley; Qinggong Tang; Chongle Pan,2025,article,Journal of Biophotonics,2,Q10,no
10.1002/jemt.20099,10.1002/jemt.20099,https://openalex.org/W1967089363,Light emission induced by tunneling electrons from surface nanostructures observed by novel conductive and transparent probes,Daisuke Fujita; Keiko Onishi; Noriko Niori,2004,article,Microscopy Research and Technique,18,Q04,no
10.1002/lpor.201000025,10.1002/lpor.201000025,https://openalex.org/W2048252305,"WGM microresonators: sensing, lasing and fundamental optics with microspheres",Jonathan M. Ward; Oliver Benson,2011,article,Laser & Photonics Review,341,Q04,no
10.1002/lpor.201500045,10.1002/lpor.201500045,https://openalex.org/W2116070749,Chemical and biochemical sensing applications of microstructured optical fiber‐based systems,Matías Calcerrada; Carmen García‐Ruiz; Miguel González‐Herráez,2015,article,Laser & Photonics Review,83,Q04;Q05,no
10.1002/lpor.202000588,10.1002/lpor.202000588,https://openalex.org/W3166551432,Optical Vernier Effect: Recent Advances and Developments,André D. Gomes; Hartmut Bartelt; Orlando Frazão,2021,article,Laser & Photonics Review,328,Q04,no
10.1002/lsm.20418,10.1002/lsm.20418,https://openalex.org/W2011408605,In vitro and in vivo tissue repair with laser‐activated chitosan adhesive,Antonio Lauto; Marcus A. Stoodley; H. Tempelaars Marcel; Alberto Avolio; Maria Sarris; Gavin McKenzie; David D. Sampson; L. John R. Foster,2006,article,Lasers in Surgery and Medicine,71,Q04,no
10.1002/lsm.22288,10.1002/lsm.22288,https://openalex.org/W1505413079,Raman spectroscopy differentiates squamous cell carcinoma (SCC) from normal skin following treatment with a high‐powered CO<sub>2</sub> laser,Sara Fox; Ashley A. Shanblatt; Hugh Beckman; John Strasswimmer; Andrew C. Terentis,2014,article,Lasers in Surgery and Medicine,23,Q09,no
10.1002/mop.70210,10.1002/mop.70210,https://openalex.org/W4409937210,Fiber Optic Device for the Detection of Adulteration of Olive Oil With Palm Oil,Pushpanjali Pal; Josin Stephen; Jinesh Mathew,2025,article,Microwave and Optical Technology Letters,2,Q04,no
10.1002/pat.70008,10.1002/pat.70008,https://openalex.org/W4404885412,Recent Advances in Potential Biomedical Applications of <scp>MXene</scp>‐Based Hydrogels,Ali Hamzehlouy; Masoud Tavakoli Dare; Farangis Shahi; Elmuez A. Dawi; Hossein Ali Khonakdar,2024,article,Polymers for Advanced Technologies,19,Q12,no
10.1002/pmic.202300121,10.1002/pmic.202300121,https://openalex.org/W4384923229,Effects of pejus and pessimum zone salinity stress on gill proteome networks and energy homeostasis in <i>Oreochromis mossambicus</i>,Larken Root; Dietmar Kültz,2023,article,PROTEOMICS,14,Q09,no
10.1002/pssa.202400215,10.1002/pssa.202400215,https://openalex.org/W4400839919,Defect Engineering for Enhanced Silicon Radiofrequency Substrates,M. Perrosé; Yoann Baron; Baptiste Lefaucher; Pablo Acosta-Alba; Jean‐Pierre Raskin,2024,article,physica status solidi (a),3,Q09,no
10.1002/smll.202207585,10.1002/smll.202207585,https://openalex.org/W4399385711,Lipidated DNA Nanostructures Target and Rupture Bacterial Membranes,Isabel Bennett; Jonathan R. Burns; Maxim G. Ryadnov; Stefan Howorka; Alice L. B. Pyne,2024,article,Small,7,Q09,no
10.1002/smll.202511095,10.1002/smll.202511095,https://openalex.org/W4415956442,Ultra‐Stable Aqueous Zinc‐Metal Batteries Achieved via Bio‐Inspired Buffer Additive Engineering,Chengjun Liu; Dongming Xu; Kuhang Liu; Yue Liu; Lishun Bai; Keli Bu; Siqiang Shen; Sijie Li; Zhi Chang,2025,article,Small,1,Q09,no
10.1002/we.2290,10.1002/we.2290,https://openalex.org/W2900063678,Wind turbine gearbox failure and remaining useful life prediction using machine learning techniques,James Carroll; Sofia Koukoura; Alasdair McDonald; Anastasis Charalambous; S. Weiss; S.D.J. McArthur,2018,article,Wind Energy,115,Q08,no
10.1007/978-1-4615-5339-7,10.1007/978-1-4615-5339-7,https://openalex.org/W4251879889,Review of Progress in Quantitative Nondestructive Evaluation,Donald O. Thompson; Dale E. Chimenti,1998,book,,143,Q08,no
10.1007/978-3-030-61902-2_11,10.1007/978-3-030-61902-2_11,https://openalex.org/W3095642283,"A 3D Measuring Endoscope for Use in Sheet-Bulk Metal Forming: Design, Algorithms, Applications and Results",Lennart Hinz; Markus Kästner; Eduard Reithmeier,2020,conference-paper,Lecture notes in production engineering,3,Q07,no
10.1007/978-3-031-03925-6_12,10.1007/978-3-031-03925-6_12,https://openalex.org/W4225541607,Comparison of Measurements Realized on Computed Tomograph and Optical Scanners for Elements Manufactured by Wire Arc Additive Manufacturing,Michał Wieczorowski; I. P. Yago; Alejandro Pereira; Bartosz Gapiński; Grzegorz Budzik; Magdalena Diering,2022,conference-paper,Lecture notes in mechanical engineering,9,Q05;Q11,no
10.1007/978-3-031-04536-3_2,10.1007/978-3-031-04536-3_2,https://openalex.org/W4308260159,Haptics as an Interaction Modality,Christian Hatzfeld; Thorsten A. Kern,2022,book-chapter,Springer series on touch and haptic systems,2,Q07,no
10.1007/978-3-031-51395-4_14,10.1007/978-3-031-51395-4_14,https://openalex.org/W4402448079,Fast Measurement of Complex Geometries Using Inverse Fringe Projection,Philipp Middendorf; Markus Kästner; Eduard Reithmeier,2024,book-chapter,,1,Q07;Q08,no
10.1007/978-3-031-53032-6,10.1007/978-3-031-53032-6,https://openalex.org/W4392667831,The 3 Dimensions of Digitalised Archaeology,Marco Hostettler; Anja Buhlke; Clara Drummer; Lea Emmenegger; Johannes Reich; Corinne Stäheli,2024,book,,7,Q05,no
10.1007/978-3-031-53032-6_3,10.1007/978-3-031-53032-6_3,https://openalex.org/W4392667838,More Than Just Documenting the Past: 15 Years of 3D Scanning at the Archaeological Heritage Office of Saxony,Florian Innerhofer; Thomas Reuter; Conny Coburger,2024,book-chapter,,2,Q05,no
10.1007/978-3-031-53032-6_7,10.1007/978-3-031-53032-6_7,https://openalex.org/W4392667745,Cross-Modal Search and Exploration of Greek Painted Pottery,Elisabeth Trinkl; Stephan Karl; Stefan Lengauer; Reinhold Preiner; Tobias Schreck,2024,book-chapter,,2,Q05,no
10.1007/978-3-032-19524-1_34,10.1007/978-3-032-19524-1_34,https://openalex.org/W7166707357,Technological Investigations Into Single-Lip Deep Hole Drilling with Large Diameters,Lucas Brause; Sebastian Michel; Mathis Commandeur; Dirk Biermann,2026,conference-paper,Lecture notes in production engineering,0,Q02,no
10.1007/978-3-662-61755-7_19,10.1007/978-3-662-61755-7_19,https://openalex.org/W3044351633,Circular Path Generation for Toroidal Cavity Inspection,Lukas Bath; Maik Dammann; Thorsten Schüppstuhl,2020,book-chapter,,1,Q08,yes
10.1007/978-981-92-2440-1_4,10.1007/978-981-92-2440-1_4,https://openalex.org/W7166703776,Design of Wire Guide Device for Horizontal Cylinder Displacement Gauge of Miter Gate in a Ship Lock,Yan Li; Chenglin Hu; Zhaonong Zhang,2026,conference-paper,Lecture notes in mechanical engineering,0,Q05,no
10.1007/978-981-99-7593-8_1,10.1007/978-981-99-7593-8_1,https://openalex.org/W4388011384,Pipe Alignment with the Image Based Visual Servo Control,Ivan Kholodilin; Н.В. Савостеенко; Н. М. Максимов; Dmitry Khriukin; Maksim Grigorev,2023,conference-paper,Communications in computer and information science,0,Q05,no
10.1007/s00170-015-7317-6,10.1007/s00170-015-7317-6,https://openalex.org/W1904550445,Tool wear predictability estimation in milling based on multi-sensorial data,Panos Stavropoulos; Alexios Papacharalampopoulos; E. Vasiliadis; George Chryssolouris,2015,article,The International Journal of Advanced Manufacturing Technology,157,Q02,no
10.1007/s00170-016-8339-4,10.1007/s00170-016-8339-4,https://openalex.org/W2272346335,Influence of electrode size and geometry in electro-discharge drilling of Inconel 718,Elena Bassoli; Lucia Denti; Andrea Gatto; Luca Iuliano,2016,article,The International Journal of Advanced Manufacturing Technology,26,Q09,no
10.1007/s00170-016-9949-6,10.1007/s00170-016-9949-6,https://openalex.org/W2573868376,Experimental investigation on camera calibration for 3D photogrammetric scanning of micro-features for micrometric resolution,Gianluca Percoco; Maria Grazia Guerra; Antonio-José Sánchez-Salmerón; Luigi Maria Galantucci,2017,article,The International Journal of Advanced Manufacturing Technology,21,Q02,no
10.1007/s00170-020-05767-z,10.1007/s00170-020-05767-z,https://openalex.org/W3046417370,On-machine focus variation measurement for micro-scale hybrid surface texture machining,Teguh Santoso; Wahyudin P. Syam; Subbareddy Darukumalli; Yukui Cai; Franz Helmli; Xichun Luo; Richard Leach,2020,article,The International Journal of Advanced Manufacturing Technology,18,Q03,no
10.1007/s00170-022-09549-7,10.1007/s00170-022-09549-7,https://openalex.org/W4283778538,The state of the art of electrical discharge drilling: a review,Xuanyu Mao; Sergio Almeida; John P.T. Mo; Songlin Ding,2022,article,The International Journal of Advanced Manufacturing Technology,58,Q02,no
10.1007/s00170-023-11423-z,10.1007/s00170-023-11423-z,https://openalex.org/W4367316477,A study on the EDM drilling of reaction-bonded silicon carbide using different electrode materials,Alexia Torres; C.J. Luis Pérez; I. Puertas; Jesús María Corres-Sanz,2023,article,The International Journal of Advanced Manufacturing Technology,14,Q09,no
10.1007/s00170-023-11864-6,10.1007/s00170-023-11864-6,https://openalex.org/W4384204578,A layerwise monitoring methodology based on blue laser line profilometer for Material Extrusion processes,Marco Lafirenza; Maria Grazia Guerra; Fulvio Lavecchia,2023,article,The International Journal of Advanced Manufacturing Technology,15,Q08,no
10.1007/s00170-026-18336-7,10.1007/s00170-026-18336-7,https://openalex.org/W7162288905,3D finite element model for simulating the BTA deep hole drilling process,Andreas Zabel; Tim Rödder,2026,article,The International Journal of Advanced Manufacturing Technology,0,Q02,yes
10.1007/s00216-014-8233-6,10.1007/s00216-014-8233-6,https://openalex.org/W2008236351,Modeling RP-1 fuel advanced distillation data using comprehensive two-dimensional gas chromatography coupled with time-of-flight mass spectrometry and partial least squares analysis,Benjamin Kehimkar; Brendon A. Parsons; Jamin C. Hoggard; Matthew C. Billingsley; Thomas J. Bruno; Robert E. Synovec,2014,article,Analytical and Bioanalytical Chemistry,21,Q08,no
10.1007/s00216-016-9824-1,10.1007/s00216-016-9824-1,https://openalex.org/W2497039129,Raman spectroscopy as a process analytical technology for pharmaceutical manufacturing and bioprocessing,Karen A. Esmonde‐White; Maryann Cuellar; Carsten Uerpmann; Bruno Lenain; Ian R. Lewis,2016,article,Analytical and Bioanalytical Chemistry,316,Q04,no
10.1007/s00223-013-9786-7,10.1007/s00223-013-9786-7,https://openalex.org/W2005576117,Osteoclasts on Bone and Dentin In Vitro: Mechanism of Trail Formation and Comparison of Resorption Behavior,M. Rumpler; Tanja Würger; Paul Roschger; Elisabeth Zwettler; Ines Sturmlechner; P. Altmann; Peter Fratzl; Michael J. Rogers; K. Klaushofer,2013,article,Calcified Tissue International,69,Q09,no
10.1007/s00339-018-1928-3,10.1007/s00339-018-1928-3,https://openalex.org/W2810200358,Ablation morphology and ablation threshold of Ti-6Al-4V alloy during femtosecond laser processing,Niroj Maharjan; Wei Zhou; Yu Zhou; Yingchun Guan,2018,article,Applied Physics A,48,Q09,no
10.1007/s00339-024-08158-3,10.1007/s00339-024-08158-3,https://openalex.org/W4405231759,Direct laser micro-drilling of high-quality photonic nanojet achieved by optical fiber probe with microcone-shaped tip,Lieber Po‐Hung Li; Ting-Yuan Hung; Wei-Yu Chen; Hung-Ju Chung; Chia‐Hsiung Cheng; Tien-Li Chang; Yu‐Bin Chen; Oleg V. Minin; Igor V. Minin; Cheng‐Yang Liu,2024,article,Applied Physics A,4,Q04,no
10.1007/s00348-009-0801-8,10.1007/s00348-009-0801-8,https://openalex.org/W1997643799,An insitu borescopic quantitative imaging profiler for the measurement of high concentration sediment velocity,Edwin A. Cowen; Russell David Dudley; Qian Liao; Evan Variano; Philip L.‐F. Liu,2009,article,Experiments in Fluids,27,Q08,yes
10.1007/s00348-020-03055-w,10.1007/s00348-020-03055-w,https://openalex.org/W3089450008,Endoscopic high-speed particle image velocimetry (eHS-PIV) in a high tumble production engine,Dongchan Kim; Lingzhe Rao; Heechang Oh; Sanghoon Kook,2020,article,Experiments in Fluids,15,Q08,no
10.1007/s00348-023-03609-8,10.1007/s00348-023-03609-8,https://openalex.org/W4327814604,Vortex ring state of a shrouded rotor: an experimental survey,David Pickles; Daniele Zagaglia; Angela Busse; Richard B. Green,2023,article,Experiments in Fluids,6,Q12,no
10.1007/s00348-024-03879-w,10.1007/s00348-024-03879-w,https://openalex.org/W4402309888,Profilometry: a non-intrusive active stereo-vision technique for wave-profile measurements in large hydrodynamic laboratories,Luca Savio; Alireza Ahani; Marilena Greco; Bjørn Christian Abrahamsen,2024,article,Experiments in Fluids,2,Q08,no
10.1007/s00542-009-0951-x,10.1007/s00542-009-0951-x,https://openalex.org/W2108873071,MEMS cantilever sensor for non-destructive metrology within high-aspect-ratio micro holes,Erwin Peiner; Lutz Doering,2009,article,Microsystem Technologies,11,Q03,yes
10.1007/s00542-022-05350-4,10.1007/s00542-022-05350-4,https://openalex.org/W4289549969,Injection moulding of micropillar arrays: a comparison of poly(methyl methacrylate) and cyclic olefin copolymer,Bin Guan; Jing‐Hong Pai; Mark Cherrill; Billy Michalatos; Craig Priest,2022,article,Microsystem Technologies,11,Q09,no
10.1007/s00603-025-04391-1,10.1007/s00603-025-04391-1,https://openalex.org/W4406915431,Experimental Investigation of Burst Failure Mechanism Under Polyaxial Loading Conditions,Selahattin Akdag; Murat Karakus; Giang D. Nguyen,2025,article,Rock Mechanics and Rock Engineering,7,Q08,no
10.1007/s10040-020-02278-9,10.1007/s10040-020-02278-9,https://openalex.org/W3123594731,Review: Advances in the methodology and application of tracing in karst aquifers,Ralf Benischke,2021,article,Hydrogeology Journal,71,Q08,no
10.1007/s10462-024-10867-3,10.1007/s10462-024-10867-3,https://openalex.org/W4401375515,Application of artificial intelligence in turbomachinery aerodynamics: progresses and challenges,Zhengping Zou; Pengcheng Xu; Yiming Chen; Lichao Yao; Chao Fu,2024,article,Artificial Intelligence Review,38,Q08;Q12,no
10.1007/s10548-018-0656-5,10.1007/s10548-018-0656-5,https://openalex.org/W2949224319,Requirements for Coregistration Accuracy in On-Scalp MEG,Rasmus Zetter; Joonas Iivanainen; Matti Stenroos; Lauri Parkkonen,2018,article,Brain Topography,59,Q05,no
10.1007/s10620-021-07372-w,10.1007/s10620-021-07372-w,https://openalex.org/W4210335011,Esophageal OCT Imaging Using a Paddle Probe Externally Attached to Endoscope,Kengyeh K. Chu; Yang Zhao; Evan T. Jelly; Zachary A. Steelman; Michael Crose; Brian Cox; Yaa Ofori-Marfoh; Lama Moussa; Holly Cirri; Ariel E. Watts; Nicholas J. Shaheen; Adam Wax,2022,article,Digestive Diseases and Sciences,4,Q10,no
10.1007/s10762-020-00759-2,10.1007/s10762-020-00759-2,https://openalex.org/W3118448118,Selective Laser Melting Process of Al–Based Pyramidal Horns for the W-Band: Fabrication and Testing,L. Lamagna; A. Paiella; S. Masi; Luana Bottini; Alberto Boschetto; F. Veniali,2021,article,Journal of Infrared Millimeter and Terahertz Waves,4,Q11,no
10.1007/s10853-019-03703-5,10.1007/s10853-019-03703-5,https://openalex.org/W2949463552,Copper/graphene composites: a review,P. Hidalgo-Manrique; Xianzhang Lei; Ruoyu Xu; Mingyu Zhou; Ian A. Kinloch; Robert J. Young,2019,article,Journal of Materials Science,391,Q02,no
10.1007/s10999-023-09692-3,10.1007/s10999-023-09692-3,https://openalex.org/W4390675291,"Towards vibration-based damage detection of civil engineering structures: overview, challenges, and future prospects",Ali Zar; Zahoor Hussain; Muhammad Akbar; Timon Rabczuk; Zhibin Lin; Shuang Li; Bilal Ahmed,2024,article,International Journal of Mechanics and Materials in Design,104,Q08,no
10.1007/s11042-016-4219-z,10.1007/s11042-016-4219-z,https://openalex.org/W2571807506,Content-based processing and analysis of endoscopic images and videos: A survey,Bernd Münzer; Klaus Schoeffmann; László Böszörményi,2017,book-chapter,Multimedia Tools and Applications,142,Q05,no
10.1007/s11071-023-09231-x,10.1007/s11071-023-09231-x,https://openalex.org/W4391227271,Research on dynamic characteristics of three-dimensional tip clearance with regard to blade crack depth and location of rotary blade-disk-shaft coupling system,Xiaodong Zhang; Yiwei Xiong; Bochao Fan; Zhen Zhao; Xin Huang; Fei Dai,2024,article,Nonlinear Dynamics,13,Q12,yes
10.1007/s11340-010-9424-5,10.1007/s11340-010-9424-5,https://openalex.org/W1994844509,Measuring Inaccessible Residual Stresses Using Multiple Methods and Superposition,Pierluigi Pagliaro; Michael B. Prime; J. S. Robinson; B. Clausen; Hunter Swenson; M. Steinzig; B. Zuccarello,2010,article,Experimental Mechanics,113,Q02;Q09,no
10.1007/s11340-024-01033-5,10.1007/s11340-024-01033-5,https://openalex.org/W4391991615,Residual Stress Determination of Cast Aluminium Benchmark Components Using Strain Relief Techniques,Z. Cai; Peter Mayr; Ricardo Fernández; Simon Robbe; Eric Usmial; Fabien Lefèbvre; L.C. To; G. S. Schajer; Philip J. Withers; M.J. Roy,2024,article,Experimental Mechanics,5,Q02,no
